RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,LWAP,
8/5/2026,DIPC,8/5/2026 12:05:00 AM,CLUZ,7060.1471,
8/5/2026,DIPC,8/5/2026 12:05:00 AM,CMIN,7197.3745,
8/5/2026,DIPC,8/5/2026 12:05:00 AM,CVIS,6952.1521,
8/5/2026,DIPC,8/5/2026 12:05:00 AM,SYSTEM,7065.1234,
8/5/2026 12:05:00 AM,DIPC,8/5/2026 12:10:00 AM,CLUZ,5413.6260,
8/5/2026 12:05:00 AM,DIPC,8/5/2026 12:10:00 AM,CMIN,14665.8601,
8/5/2026 12:05:00 AM,DIPC,8/5/2026 12:10:00 AM,CVIS,14104.3256,
8/5/2026 12:05:00 AM,DIPC,8/5/2026 12:10:00 AM,SYSTEM,8198.6732,
8/5/2026 12:10:00 AM,DIPC,8/5/2026 12:15:00 AM,CLUZ,5304.4411,
8/5/2026 12:10:00 AM,DIPC,8/5/2026 12:15:00 AM,CMIN,17774.8402,
8/5/2026 12:10:00 AM,DIPC,8/5/2026 12:15:00 AM,CVIS,17006.5304,
8/5/2026 12:10:00 AM,DIPC,8/5/2026 12:15:00 AM,SYSTEM,9043.8162,
8/5/2026 12:15:00 AM,DIPC,8/5/2026 12:20:00 AM,CLUZ,4178.0569,
8/5/2026 12:15:00 AM,DIPC,8/5/2026 12:20:00 AM,CMIN,17811.8722,
8/5/2026 12:15:00 AM,DIPC,8/5/2026 12:20:00 AM,CVIS,17012.2333,
8/5/2026 12:15:00 AM,DIPC,8/5/2026 12:20:00 AM,SYSTEM,8272.7372,
8/5/2026 12:20:00 AM,DIPC,8/5/2026 12:25:00 AM,CLUZ,3341.2742,
8/5/2026 12:20:00 AM,DIPC,8/5/2026 12:25:00 AM,CMIN,16955.1328,
8/5/2026 12:20:00 AM,DIPC,8/5/2026 12:25:00 AM,CVIS,16219.7335,
8/5/2026 12:20:00 AM,DIPC,8/5/2026 12:25:00 AM,SYSTEM,7440.5718,
8/5/2026 12:25:00 AM,DIPC,8/5/2026 12:30:00 AM,CLUZ,3339.5654,
8/5/2026 12:25:00 AM,DIPC,8/5/2026 12:30:00 AM,CMIN,16963.7165,
8/5/2026 12:25:00 AM,DIPC,8/5/2026 12:30:00 AM,CVIS,16270.4856,
8/5/2026 12:25:00 AM,DIPC,8/5/2026 12:30:00 AM,SYSTEM,7449.2739,
8/5/2026 12:30:00 AM,DIPC,8/5/2026 12:35:00 AM,CLUZ,6576.7210,
8/5/2026 12:30:00 AM,DIPC,8/5/2026 12:35:00 AM,CMIN,11621.8504,
8/5/2026 12:30:00 AM,DIPC,8/5/2026 12:35:00 AM,CVIS,11152.1404,
8/5/2026 12:30:00 AM,DIPC,8/5/2026 12:35:00 AM,SYSTEM,8043.9230,
8/5/2026 12:35:00 AM,DIPC,8/5/2026 12:40:00 AM,CLUZ,4313.1710,
8/5/2026 12:35:00 AM,DIPC,8/5/2026 12:40:00 AM,CMIN,22977.7512,
8/5/2026 12:35:00 AM,DIPC,8/5/2026 12:40:00 AM,CVIS,22159.3538,
8/5/2026 12:35:00 AM,DIPC,8/5/2026 12:40:00 AM,SYSTEM,9852.0285,
8/5/2026 12:40:00 AM,DIPC,8/5/2026 12:45:00 AM,CLUZ,3446.7418,
8/5/2026 12:40:00 AM,DIPC,8/5/2026 12:45:00 AM,CMIN,14633.9680,
8/5/2026 12:40:00 AM,DIPC,8/5/2026 12:45:00 AM,CVIS,14122.6947,
8/5/2026 12:40:00 AM,DIPC,8/5/2026 12:45:00 AM,SYSTEM,6758.6480,
8/5/2026 12:45:00 AM,DIPC,8/5/2026 12:50:00 AM,CLUZ,3445.6434,
8/5/2026 12:45:00 AM,DIPC,8/5/2026 12:50:00 AM,CMIN,14649.8776,
8/5/2026 12:45:00 AM,DIPC,8/5/2026 12:50:00 AM,CVIS,14125.9028,
8/5/2026 12:45:00 AM,DIPC,8/5/2026 12:50:00 AM,SYSTEM,6757.3372,
8/5/2026 12:50:00 AM,DIPC,8/5/2026 12:55:00 AM,CLUZ,3342.2313,
8/5/2026 12:50:00 AM,DIPC,8/5/2026 12:55:00 AM,CMIN,14645.2056,
8/5/2026 12:50:00 AM,DIPC,8/5/2026 12:55:00 AM,CVIS,14121.9011,
8/5/2026 12:50:00 AM,DIPC,8/5/2026 12:55:00 AM,SYSTEM,6689.3442,
8/5/2026 12:55:00 AM,DIPC,8/5/2026 1:00:00 AM,CLUZ,3234.6598,
8/5/2026 12:55:00 AM,DIPC,8/5/2026 1:00:00 AM,CMIN,9703.9420,
8/5/2026 12:55:00 AM,DIPC,8/5/2026 1:00:00 AM,CVIS,9369.5637,
8/5/2026 12:55:00 AM,DIPC,8/5/2026 1:00:00 AM,SYSTEM,5145.4565,
8/5/2026 1:00:00 AM,DIPC,8/5/2026 1:05:00 AM,CLUZ,3553.8921,
8/5/2026 1:00:00 AM,DIPC,8/5/2026 1:05:00 AM,CMIN,8900.8172,
8/5/2026 1:00:00 AM,DIPC,8/5/2026 1:05:00 AM,CVIS,8601.1015,
8/5/2026 1:00:00 AM,DIPC,8/5/2026 1:05:00 AM,SYSTEM,5127.8695,
8/5/2026 1:05:00 AM,DIPC,8/5/2026 1:10:00 AM,CLUZ,4306.3554,
8/5/2026 1:05:00 AM,DIPC,8/5/2026 1:10:00 AM,CMIN,9616.8942,
8/5/2026 1:05:00 AM,DIPC,8/5/2026 1:10:00 AM,CVIS,9311.3883,
