RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,COMMODITY_TYPE,SCHED_MW,PRICE,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01AMBUK_U02,G,Fr,31,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01AMBUK_U03,G,Dr,36,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BAUANG_GS1,G,Dr,24.31,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BAUANG_GS2,G,Dr,0,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BAUANG_GS3,G,Dr,70,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BINGA_U01,G,Dr,33,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BINGA_U02,G,Dr,33,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BINGA_U03,G,Dr,35,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01BINGA_U04,G,Dr,32,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01CIP2_G01,G,Dr,20,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01CNCEP_BAT,G,Fr,48.60,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01GAMU_BAT,G,Fr,35.60,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01GNPD_U01,G,Fr,56.23,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01GNPD_U02,G,Fr,39.07,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LAMAO_BAT,G,Fr,44.50,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_BAT,G,Rd,30.80,5884.2889,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_BAT,G,Ru,0.72,23000,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_U01,G,Dr,14.86,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_U02,G,Dr,0,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_U03,G,Dr,52,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_U05,G,Dr,0,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01LIMAY_U06,G,Dr,52,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_BAT,G,Rd,29.90,5884.2889,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_BAT,G,Ru,28.08,23000,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_U01,G,Dr,12.53,5000.0796,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_U02,G,Fr,52,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_U03,G,Fr,44,5152.0829,
7/5/2026,RTD,7/5/2026 12:05:00 AM,CLUZ,01MAGAT_U04,G,Fr,52,5152.0829,
