RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
9/4/2026,RTD,9/4/2026 12:05:00 AM,MINVIS1,N,183.69,-183.69,,
9/4/2026,RTD,9/4/2026 12:05:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:05:00 AM,RTD,9/4/2026 12:10:00 AM,MINVIS1,N,158.90,-158.90,,
9/4/2026 12:05:00 AM,RTD,9/4/2026 12:10:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:10:00 AM,RTD,9/4/2026 12:15:00 AM,MINVIS1,N,142.01,-142.01,,
9/4/2026 12:10:00 AM,RTD,9/4/2026 12:15:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:15:00 AM,RTD,9/4/2026 12:20:00 AM,MINVIS1,N,127.75,-127.75,,
9/4/2026 12:15:00 AM,RTD,9/4/2026 12:20:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:20:00 AM,RTD,9/4/2026 12:25:00 AM,MINVIS1,N,136.98,-136.98,,
9/4/2026 12:20:00 AM,RTD,9/4/2026 12:25:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:25:00 AM,RTD,9/4/2026 12:30:00 AM,MINVIS1,N,132.44,-132.44,,
9/4/2026 12:25:00 AM,RTD,9/4/2026 12:30:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:30:00 AM,RTD,9/4/2026 12:35:00 AM,MINVIS1,N,147.66,-147.66,,
9/4/2026 12:30:00 AM,RTD,9/4/2026 12:35:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:35:00 AM,RTD,9/4/2026 12:40:00 AM,MINVIS1,N,151.05,-151.05,,
9/4/2026 12:35:00 AM,RTD,9/4/2026 12:40:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:40:00 AM,RTD,9/4/2026 12:45:00 AM,MINVIS1,N,145.77,-145.77,,
9/4/2026 12:40:00 AM,RTD,9/4/2026 12:45:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:45:00 AM,RTD,9/4/2026 12:50:00 AM,MINVIS1,N,137.02,-137.02,,
9/4/2026 12:45:00 AM,RTD,9/4/2026 12:50:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:50:00 AM,RTD,9/4/2026 12:55:00 AM,MINVIS1,N,140.47,-140.47,,
9/4/2026 12:50:00 AM,RTD,9/4/2026 12:55:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 12:55:00 AM,RTD,9/4/2026 1:00:00 AM,MINVIS1,N,132.26,-132.26,,
9/4/2026 12:55:00 AM,RTD,9/4/2026 1:00:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:00:00 AM,RTD,9/4/2026 1:05:00 AM,MINVIS1,N,131.04,-131.04,,
9/4/2026 1:00:00 AM,RTD,9/4/2026 1:05:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:05:00 AM,RTD,9/4/2026 1:10:00 AM,MINVIS1,N,138.16,-138.16,,
9/4/2026 1:05:00 AM,RTD,9/4/2026 1:10:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:10:00 AM,RTD,9/4/2026 1:15:00 AM,MINVIS1,N,118.93,-118.93,,
9/4/2026 1:10:00 AM,RTD,9/4/2026 1:15:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:15:00 AM,RTD,9/4/2026 1:20:00 AM,MINVIS1,N,109.56,-109.56,,
9/4/2026 1:15:00 AM,RTD,9/4/2026 1:20:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:20:00 AM,RTD,9/4/2026 1:25:00 AM,MINVIS1,N,95.36,-95.36,,
9/4/2026 1:20:00 AM,RTD,9/4/2026 1:25:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:25:00 AM,RTD,9/4/2026 1:30:00 AM,MINVIS1,N,91.27,-91.27,,
9/4/2026 1:25:00 AM,RTD,9/4/2026 1:30:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:30:00 AM,RTD,9/4/2026 1:35:00 AM,MINVIS1,N,82.81,-82.81,,
9/4/2026 1:30:00 AM,RTD,9/4/2026 1:35:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:35:00 AM,RTD,9/4/2026 1:40:00 AM,MINVIS1,N,78.81,-78.81,,
9/4/2026 1:35:00 AM,RTD,9/4/2026 1:40:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:40:00 AM,RTD,9/4/2026 1:45:00 AM,MINVIS1,N,76.54,-76.54,,
9/4/2026 1:40:00 AM,RTD,9/4/2026 1:45:00 AM,VISLUZ1,Y,-150,150,,
9/4/2026 1:45:00 AM,RTD,9/4/2026 1:50:00 AM,MINVIS1,N,62.06,-62.06,,
9/4/2026 1:45:00 AM,RTD,9/4/2026 1:50:00 AM,VISLUZ1,Y,-150,150,,
