RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
5/2/2026,RTD,5/2/2026 12:05:00 AM,MINVIS1,Y,450,-450,,
5/2/2026,RTD,5/2/2026 12:05:00 AM,VISLUZ1,N,131.37,-131.37,,
5/2/2026 12:05:00 AM,RTD,5/2/2026 12:10:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:05:00 AM,RTD,5/2/2026 12:10:00 AM,VISLUZ1,N,142.11,-142.11,,
5/2/2026 12:10:00 AM,RTD,5/2/2026 12:15:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:10:00 AM,RTD,5/2/2026 12:15:00 AM,VISLUZ1,N,151.49,-151.49,,
5/2/2026 12:15:00 AM,RTD,5/2/2026 12:20:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:15:00 AM,RTD,5/2/2026 12:20:00 AM,VISLUZ1,N,149.87,-149.87,,
5/2/2026 12:20:00 AM,RTD,5/2/2026 12:25:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:20:00 AM,RTD,5/2/2026 12:25:00 AM,VISLUZ1,N,164.15,-164.15,,
5/2/2026 12:25:00 AM,RTD,5/2/2026 12:30:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:25:00 AM,RTD,5/2/2026 12:30:00 AM,VISLUZ1,N,173.71,-173.71,,
5/2/2026 12:30:00 AM,RTD,5/2/2026 12:35:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:30:00 AM,RTD,5/2/2026 12:35:00 AM,VISLUZ1,N,169.53,-169.53,,
5/2/2026 12:35:00 AM,RTD,5/2/2026 12:40:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:35:00 AM,RTD,5/2/2026 12:40:00 AM,VISLUZ1,N,185.54,-185.54,,
5/2/2026 12:40:00 AM,RTD,5/2/2026 12:45:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:40:00 AM,RTD,5/2/2026 12:45:00 AM,VISLUZ1,N,186.34,-186.34,,
5/2/2026 12:45:00 AM,RTD,5/2/2026 12:50:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:45:00 AM,RTD,5/2/2026 12:50:00 AM,VISLUZ1,N,194.41,-194.41,,
5/2/2026 12:50:00 AM,RTD,5/2/2026 12:55:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:50:00 AM,RTD,5/2/2026 12:55:00 AM,VISLUZ1,N,194.96,-194.96,,
5/2/2026 12:55:00 AM,RTD,5/2/2026 1:00:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 12:55:00 AM,RTD,5/2/2026 1:00:00 AM,VISLUZ1,N,202.93,-202.93,,
5/2/2026 1:00:00 AM,RTD,5/2/2026 1:05:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:00:00 AM,RTD,5/2/2026 1:05:00 AM,VISLUZ1,N,195.95,-195.95,,
5/2/2026 1:05:00 AM,RTD,5/2/2026 1:10:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:05:00 AM,RTD,5/2/2026 1:10:00 AM,VISLUZ1,N,190.53,-190.53,,
5/2/2026 1:10:00 AM,RTD,5/2/2026 1:15:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:10:00 AM,RTD,5/2/2026 1:15:00 AM,VISLUZ1,N,204.13,-204.13,,
5/2/2026 1:15:00 AM,RTD,5/2/2026 1:20:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:15:00 AM,RTD,5/2/2026 1:20:00 AM,VISLUZ1,N,188.05,-188.05,,
5/2/2026 1:20:00 AM,RTD,5/2/2026 1:25:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:20:00 AM,RTD,5/2/2026 1:25:00 AM,VISLUZ1,N,178.76,-178.76,,
5/2/2026 1:25:00 AM,RTD,5/2/2026 1:30:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:25:00 AM,RTD,5/2/2026 1:30:00 AM,VISLUZ1,N,182.62,-182.62,,
5/2/2026 1:30:00 AM,RTD,5/2/2026 1:35:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:30:00 AM,RTD,5/2/2026 1:35:00 AM,VISLUZ1,N,205.53,-205.53,,
5/2/2026 1:35:00 AM,RTD,5/2/2026 1:40:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:35:00 AM,RTD,5/2/2026 1:40:00 AM,VISLUZ1,N,219.39,-219.39,,
5/2/2026 1:40:00 AM,RTD,5/2/2026 1:45:00 AM,MINVIS1,N,420.34,-420.34,,
5/2/2026 1:40:00 AM,RTD,5/2/2026 1:45:00 AM,VISLUZ1,N,137.28,-137.28,,
5/2/2026 1:45:00 AM,RTD,5/2/2026 1:50:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:45:00 AM,RTD,5/2/2026 1:50:00 AM,VISLUZ1,N,153.18,-153.18,,
5/2/2026 1:50:00 AM,RTD,5/2/2026 1:55:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:50:00 AM,RTD,5/2/2026 1:55:00 AM,VISLUZ1,N,170.39,-170.39,,
5/2/2026 1:55:00 AM,RTD,5/2/2026 2:00:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 1:55:00 AM,RTD,5/2/2026 2:00:00 AM,VISLUZ1,N,162.89,-162.89,,
5/2/2026 2:00:00 AM,RTD,5/2/2026 2:05:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:00:00 AM,RTD,5/2/2026 2:05:00 AM,VISLUZ1,N,198.85,-198.85,,
5/2/2026 2:05:00 AM,RTD,5/2/2026 2:10:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:05:00 AM,RTD,5/2/2026 2:10:00 AM,VISLUZ1,N,210.69,-210.69,,
5/2/2026 2:10:00 AM,RTD,5/2/2026 2:15:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:10:00 AM,RTD,5/2/2026 2:15:00 AM,VISLUZ1,N,223.91,-223.91,,
5/2/2026 2:15:00 AM,RTD,5/2/2026 2:20:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:15:00 AM,RTD,5/2/2026 2:20:00 AM,VISLUZ1,N,194,-194,,
5/2/2026 2:20:00 AM,RTD,5/2/2026 2:25:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:20:00 AM,RTD,5/2/2026 2:25:00 AM,VISLUZ1,N,180.96,-180.96,,
5/2/2026 2:25:00 AM,RTD,5/2/2026 2:30:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:25:00 AM,RTD,5/2/2026 2:30:00 AM,VISLUZ1,N,201.14,-201.14,,
5/2/2026 2:30:00 AM,RTD,5/2/2026 2:35:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:30:00 AM,RTD,5/2/2026 2:35:00 AM,VISLUZ1,N,236.09,-236.09,,
5/2/2026 2:35:00 AM,RTD,5/2/2026 2:40:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:35:00 AM,RTD,5/2/2026 2:40:00 AM,VISLUZ1,N,258.75,-258.75,,
5/2/2026 2:40:00 AM,RTD,5/2/2026 2:45:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:40:00 AM,RTD,5/2/2026 2:45:00 AM,VISLUZ1,N,264.17,-264.17,,
5/2/2026 2:45:00 AM,RTD,5/2/2026 2:50:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:45:00 AM,RTD,5/2/2026 2:50:00 AM,VISLUZ1,N,275.51,-275.51,,
5/2/2026 2:50:00 AM,RTD,5/2/2026 2:55:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:50:00 AM,RTD,5/2/2026 2:55:00 AM,VISLUZ1,N,248.35,-248.35,,
5/2/2026 2:55:00 AM,RTD,5/2/2026 3:00:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 2:55:00 AM,RTD,5/2/2026 3:00:00 AM,VISLUZ1,N,223.92,-223.92,,
5/2/2026 3:00:00 AM,RTD,5/2/2026 3:05:00 AM,MINVIS1,N,422.26,-422.26,,
5/2/2026 3:00:00 AM,RTD,5/2/2026 3:05:00 AM,VISLUZ1,N,176.55,-176.55,,
5/2/2026 3:05:00 AM,RTD,5/2/2026 3:10:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:05:00 AM,RTD,5/2/2026 3:10:00 AM,VISLUZ1,N,183.24,-183.24,,
5/2/2026 3:10:00 AM,RTD,5/2/2026 3:15:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:10:00 AM,RTD,5/2/2026 3:15:00 AM,VISLUZ1,N,170.21,-170.21,,
5/2/2026 3:15:00 AM,RTD,5/2/2026 3:20:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:15:00 AM,RTD,5/2/2026 3:20:00 AM,VISLUZ1,N,207.61,-207.61,,
5/2/2026 3:20:00 AM,RTD,5/2/2026 3:25:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:20:00 AM,RTD,5/2/2026 3:25:00 AM,VISLUZ1,N,173.50,-173.50,,
5/2/2026 3:25:00 AM,RTD,5/2/2026 3:30:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:25:00 AM,RTD,5/2/2026 3:30:00 AM,VISLUZ1,N,208.82,-208.82,,
5/2/2026 3:30:00 AM,RTD,5/2/2026 3:35:00 AM,MINVIS1,Y,450,-450,,
5/2/2026 3:30:00 AM,RTD,5/2/2026 3:35:00 AM,VISLUZ1,N,237.20,-237.20,,
5/2/2026 3:35:00 AM,RTD,5/2/2026 3:40:00 AM,MINVIS1,Y,450,-450,,
