RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
8/22/2026,RTD,8/22/2026 12:05:00 AM,MINVIS1,N,431.79,-431.79,,
8/22/2026,RTD,8/22/2026 12:05:00 AM,VISLUZ1,N,-107.81,107.81,,
8/22/2026 12:05:00 AM,RTD,8/22/2026 12:10:00 AM,MINVIS1,N,440.28,-440.28,,
8/22/2026 12:05:00 AM,RTD,8/22/2026 12:10:00 AM,VISLUZ1,N,-94.15,94.15,,
8/22/2026 12:10:00 AM,RTD,8/22/2026 12:15:00 AM,MINVIS1,Y,450,-450,,
8/22/2026 12:10:00 AM,RTD,8/22/2026 12:15:00 AM,VISLUZ1,N,-79.99,79.99,,
8/22/2026 12:15:00 AM,RTD,8/22/2026 12:20:00 AM,MINVIS1,N,447.38,-447.38,,
8/22/2026 12:15:00 AM,RTD,8/22/2026 12:20:00 AM,VISLUZ1,N,-82.15,82.15,,
8/22/2026 12:20:00 AM,RTD,8/22/2026 12:25:00 AM,MINVIS1,N,421.59,-421.59,,
8/22/2026 12:20:00 AM,RTD,8/22/2026 12:25:00 AM,VISLUZ1,N,-142.94,142.94,,
8/22/2026 12:25:00 AM,RTD,8/22/2026 12:30:00 AM,MINVIS1,N,437.73,-437.73,,
8/22/2026 12:25:00 AM,RTD,8/22/2026 12:30:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:30:00 AM,RTD,8/22/2026 12:35:00 AM,MINVIS1,N,436.42,-436.42,,
8/22/2026 12:30:00 AM,RTD,8/22/2026 12:35:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:35:00 AM,RTD,8/22/2026 12:40:00 AM,MINVIS1,N,433.70,-433.70,,
8/22/2026 12:35:00 AM,RTD,8/22/2026 12:40:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:40:00 AM,RTD,8/22/2026 12:45:00 AM,MINVIS1,N,422.40,-422.40,,
8/22/2026 12:40:00 AM,RTD,8/22/2026 12:45:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:45:00 AM,RTD,8/22/2026 12:50:00 AM,MINVIS1,N,413.82,-413.82,,
8/22/2026 12:45:00 AM,RTD,8/22/2026 12:50:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:50:00 AM,RTD,8/22/2026 12:55:00 AM,MINVIS1,N,422.67,-422.67,,
8/22/2026 12:50:00 AM,RTD,8/22/2026 12:55:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 12:55:00 AM,RTD,8/22/2026 1:00:00 AM,MINVIS1,N,427.43,-427.43,,
8/22/2026 12:55:00 AM,RTD,8/22/2026 1:00:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 1:00:00 AM,RTD,8/22/2026 1:05:00 AM,MINVIS1,N,428.18,-428.18,,
8/22/2026 1:00:00 AM,RTD,8/22/2026 1:05:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 1:05:00 AM,RTD,8/22/2026 1:10:00 AM,MINVIS1,N,429.98,-429.98,,
8/22/2026 1:05:00 AM,RTD,8/22/2026 1:10:00 AM,VISLUZ1,Y,-100,100,,
8/22/2026 1:10:00 AM,RTD,8/22/2026 1:15:00 AM,MINVIS1,N,430.48,-430.48,,
8/22/2026 1:10:00 AM,RTD,8/22/2026 1:15:00 AM,VISLUZ1,Y,-100,100,,
