RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
5/12/2026,RTD,5/12/2026 12:05:00 AM,MINVIS1,Y,450,-450,,
5/12/2026,RTD,5/12/2026 12:05:00 AM,VISLUZ1,N,-90.90,90.90,,
5/12/2026 12:05:00 AM,RTD,5/12/2026 12:10:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:05:00 AM,RTD,5/12/2026 12:10:00 AM,VISLUZ1,N,-80.58,80.58,,
5/12/2026 12:10:00 AM,RTD,5/12/2026 12:15:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:10:00 AM,RTD,5/12/2026 12:15:00 AM,VISLUZ1,N,-79.19,79.19,,
5/12/2026 12:15:00 AM,RTD,5/12/2026 12:20:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:15:00 AM,RTD,5/12/2026 12:20:00 AM,VISLUZ1,N,-89.21,89.21,,
5/12/2026 12:20:00 AM,RTD,5/12/2026 12:25:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:20:00 AM,RTD,5/12/2026 12:25:00 AM,VISLUZ1,N,-70.27,70.27,,
5/12/2026 12:25:00 AM,RTD,5/12/2026 12:30:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:25:00 AM,RTD,5/12/2026 12:30:00 AM,VISLUZ1,N,-62.55,62.55,,
5/12/2026 12:30:00 AM,RTD,5/12/2026 12:35:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:30:00 AM,RTD,5/12/2026 12:35:00 AM,VISLUZ1,N,-55.71,55.71,,
5/12/2026 12:35:00 AM,RTD,5/12/2026 12:40:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:35:00 AM,RTD,5/12/2026 12:40:00 AM,VISLUZ1,N,-50.99,50.99,,
5/12/2026 12:40:00 AM,RTD,5/12/2026 12:45:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:40:00 AM,RTD,5/12/2026 12:45:00 AM,VISLUZ1,N,-41.48,41.48,,
5/12/2026 12:45:00 AM,RTD,5/12/2026 12:50:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:45:00 AM,RTD,5/12/2026 12:50:00 AM,VISLUZ1,N,-34.92,34.92,,
5/12/2026 12:50:00 AM,RTD,5/12/2026 12:55:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:50:00 AM,RTD,5/12/2026 12:55:00 AM,VISLUZ1,N,-41.20,41.20,,
5/12/2026 12:55:00 AM,RTD,5/12/2026 1:00:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 12:55:00 AM,RTD,5/12/2026 1:00:00 AM,VISLUZ1,N,-51.48,51.48,,
5/12/2026 1:00:00 AM,RTD,5/12/2026 1:05:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:00:00 AM,RTD,5/12/2026 1:05:00 AM,VISLUZ1,N,-16.08,16.08,,
5/12/2026 1:05:00 AM,RTD,5/12/2026 1:10:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:05:00 AM,RTD,5/12/2026 1:10:00 AM,VISLUZ1,N,-2.80,2.80,,
5/12/2026 1:10:00 AM,RTD,5/12/2026 1:15:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:10:00 AM,RTD,5/12/2026 1:15:00 AM,VISLUZ1,N,13.24,-13.24,,
5/12/2026 1:15:00 AM,RTD,5/12/2026 1:20:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:15:00 AM,RTD,5/12/2026 1:20:00 AM,VISLUZ1,N,24.15,-24.15,,
5/12/2026 1:20:00 AM,RTD,5/12/2026 1:25:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:20:00 AM,RTD,5/12/2026 1:25:00 AM,VISLUZ1,N,29.67,-29.67,,
5/12/2026 1:25:00 AM,RTD,5/12/2026 1:30:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:25:00 AM,RTD,5/12/2026 1:30:00 AM,VISLUZ1,N,21.58,-21.58,,
5/12/2026 1:30:00 AM,RTD,5/12/2026 1:35:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:30:00 AM,RTD,5/12/2026 1:35:00 AM,VISLUZ1,N,21.35,-21.35,,
5/12/2026 1:35:00 AM,RTD,5/12/2026 1:40:00 AM,MINVIS1,N,447.07,-447.07,,
5/12/2026 1:35:00 AM,RTD,5/12/2026 1:40:00 AM,VISLUZ1,N,-5.84,5.84,,
5/12/2026 1:40:00 AM,RTD,5/12/2026 1:45:00 AM,MINVIS1,N,438.73,-438.73,,
5/12/2026 1:40:00 AM,RTD,5/12/2026 1:45:00 AM,VISLUZ1,N,-32.50,32.50,,
5/12/2026 1:45:00 AM,RTD,5/12/2026 1:50:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:45:00 AM,RTD,5/12/2026 1:50:00 AM,VISLUZ1,N,-34.86,34.86,,
5/12/2026 1:50:00 AM,RTD,5/12/2026 1:55:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 1:50:00 AM,RTD,5/12/2026 1:55:00 AM,VISLUZ1,N,-45.56,45.56,,
5/12/2026 1:55:00 AM,RTD,5/12/2026 2:00:00 AM,MINVIS1,N,438.98,-438.98,,
5/12/2026 1:55:00 AM,RTD,5/12/2026 2:00:00 AM,VISLUZ1,N,-69.34,69.34,,
5/12/2026 2:00:00 AM,RTD,5/12/2026 2:05:00 AM,MINVIS1,Y,450,-450,,
5/12/2026 2:00:00 AM,RTD,5/12/2026 2:05:00 AM,VISLUZ1,N,-57.42,57.42,,
5/12/2026 2:05:00 AM,RTD,5/12/2026 2:10:00 AM,MINVIS1,N,438.26,-438.26,,
5/12/2026 2:05:00 AM,RTD,5/12/2026 2:10:00 AM,VISLUZ1,N,-62.97,62.97,,
5/12/2026 2:10:00 AM,RTD,5/12/2026 2:15:00 AM,MINVIS1,N,432.43,-432.43,,
5/12/2026 2:10:00 AM,RTD,5/12/2026 2:15:00 AM,VISLUZ1,N,-64.17,64.17,,
5/12/2026 2:15:00 AM,RTD,5/12/2026 2:20:00 AM,MINVIS1,N,429.42,-429.42,,
5/12/2026 2:15:00 AM,RTD,5/12/2026 2:20:00 AM,VISLUZ1,N,-64.22,64.22,,
5/12/2026 2:20:00 AM,RTD,5/12/2026 2:25:00 AM,MINVIS1,N,400.55,-400.55,,
5/12/2026 2:20:00 AM,RTD,5/12/2026 2:25:00 AM,VISLUZ1,N,-89.57,89.57,,
5/12/2026 2:25:00 AM,RTD,5/12/2026 2:30:00 AM,MINVIS1,N,437.97,-437.97,,
