RUN_TIME,MKT_TYPE,TIME_INTERVAL,HVDC_NAME,CONGESTION_FLAG,FLOW_FROM,FLOW_TO,OVERLOAD_MW,
6/20/2026,RTD,6/20/2026 12:05:00 AM,MINVIS1,Y,450,-450,,
6/20/2026,RTD,6/20/2026 12:05:00 AM,VISLUZ1,N,-100.50,100.50,,
6/20/2026 12:05:00 AM,RTD,6/20/2026 12:10:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:05:00 AM,RTD,6/20/2026 12:10:00 AM,VISLUZ1,N,-103.97,103.97,,
6/20/2026 12:10:00 AM,RTD,6/20/2026 12:15:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:10:00 AM,RTD,6/20/2026 12:15:00 AM,VISLUZ1,N,-116.55,116.55,,
6/20/2026 12:15:00 AM,RTD,6/20/2026 12:20:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:15:00 AM,RTD,6/20/2026 12:20:00 AM,VISLUZ1,N,-129.94,129.94,,
6/20/2026 12:20:00 AM,RTD,6/20/2026 12:25:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:20:00 AM,RTD,6/20/2026 12:25:00 AM,VISLUZ1,N,-103.14,103.14,,
6/20/2026 12:25:00 AM,RTD,6/20/2026 12:30:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:25:00 AM,RTD,6/20/2026 12:30:00 AM,VISLUZ1,N,-117.55,117.55,,
6/20/2026 12:30:00 AM,RTD,6/20/2026 12:35:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:30:00 AM,RTD,6/20/2026 12:35:00 AM,VISLUZ1,N,-114,114,,
6/20/2026 12:35:00 AM,RTD,6/20/2026 12:40:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:35:00 AM,RTD,6/20/2026 12:40:00 AM,VISLUZ1,N,-89.88,89.88,,
6/20/2026 12:40:00 AM,RTD,6/20/2026 12:45:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:40:00 AM,RTD,6/20/2026 12:45:00 AM,VISLUZ1,N,-81.89,81.89,,
6/20/2026 12:45:00 AM,RTD,6/20/2026 12:50:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:45:00 AM,RTD,6/20/2026 12:50:00 AM,VISLUZ1,N,-76.06,76.06,,
6/20/2026 12:50:00 AM,RTD,6/20/2026 12:55:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:50:00 AM,RTD,6/20/2026 12:55:00 AM,VISLUZ1,N,-71.41,71.41,,
6/20/2026 12:55:00 AM,RTD,6/20/2026 1:00:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 12:55:00 AM,RTD,6/20/2026 1:00:00 AM,VISLUZ1,N,-65.97,65.97,,
6/20/2026 1:00:00 AM,RTD,6/20/2026 1:05:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:00:00 AM,RTD,6/20/2026 1:05:00 AM,VISLUZ1,N,-60.83,60.83,,
6/20/2026 1:05:00 AM,RTD,6/20/2026 1:10:00 AM,MINVIS1,N,448.94,-448.94,,
6/20/2026 1:05:00 AM,RTD,6/20/2026 1:10:00 AM,VISLUZ1,N,-52.97,52.97,,
6/20/2026 1:10:00 AM,RTD,6/20/2026 1:15:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:10:00 AM,RTD,6/20/2026 1:15:00 AM,VISLUZ1,N,-43.94,43.94,,
6/20/2026 1:15:00 AM,RTD,6/20/2026 1:20:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:15:00 AM,RTD,6/20/2026 1:20:00 AM,VISLUZ1,N,-56.13,56.13,,
6/20/2026 1:20:00 AM,RTD,6/20/2026 1:25:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:20:00 AM,RTD,6/20/2026 1:25:00 AM,VISLUZ1,N,-51.91,51.91,,
6/20/2026 1:25:00 AM,RTD,6/20/2026 1:30:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:25:00 AM,RTD,6/20/2026 1:30:00 AM,VISLUZ1,N,-42.02,42.02,,
6/20/2026 1:30:00 AM,RTD,6/20/2026 1:35:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:30:00 AM,RTD,6/20/2026 1:35:00 AM,VISLUZ1,N,-36.88,36.88,,
6/20/2026 1:35:00 AM,RTD,6/20/2026 1:40:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:35:00 AM,RTD,6/20/2026 1:40:00 AM,VISLUZ1,N,-32.02,32.02,,
6/20/2026 1:40:00 AM,RTD,6/20/2026 1:45:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:40:00 AM,RTD,6/20/2026 1:45:00 AM,VISLUZ1,N,-27.98,27.98,,
6/20/2026 1:45:00 AM,RTD,6/20/2026 1:50:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:45:00 AM,RTD,6/20/2026 1:50:00 AM,VISLUZ1,N,-23.02,23.02,,
6/20/2026 1:50:00 AM,RTD,6/20/2026 1:55:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:50:00 AM,RTD,6/20/2026 1:55:00 AM,VISLUZ1,N,-11.81,11.81,,
6/20/2026 1:55:00 AM,RTD,6/20/2026 2:00:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 1:55:00 AM,RTD,6/20/2026 2:00:00 AM,VISLUZ1,N,-17.51,17.51,,
6/20/2026 2:00:00 AM,RTD,6/20/2026 2:05:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:00:00 AM,RTD,6/20/2026 2:05:00 AM,VISLUZ1,N,4.55,-4.55,,
6/20/2026 2:05:00 AM,RTD,6/20/2026 2:10:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:05:00 AM,RTD,6/20/2026 2:10:00 AM,VISLUZ1,N,12.07,-12.07,,
6/20/2026 2:10:00 AM,RTD,6/20/2026 2:15:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:10:00 AM,RTD,6/20/2026 2:15:00 AM,VISLUZ1,N,19.07,-19.07,,
6/20/2026 2:15:00 AM,RTD,6/20/2026 2:20:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:15:00 AM,RTD,6/20/2026 2:20:00 AM,VISLUZ1,N,1.79,-1.79,,
6/20/2026 2:20:00 AM,RTD,6/20/2026 2:25:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:20:00 AM,RTD,6/20/2026 2:25:00 AM,VISLUZ1,N,4.07,-4.07,,
6/20/2026 2:25:00 AM,RTD,6/20/2026 2:30:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:25:00 AM,RTD,6/20/2026 2:30:00 AM,VISLUZ1,N,1.38,-1.38,,
6/20/2026 2:30:00 AM,RTD,6/20/2026 2:35:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:30:00 AM,RTD,6/20/2026 2:35:00 AM,VISLUZ1,N,0.98,-0.98,,
6/20/2026 2:35:00 AM,RTD,6/20/2026 2:40:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:35:00 AM,RTD,6/20/2026 2:40:00 AM,VISLUZ1,N,6.44,-6.44,,
6/20/2026 2:40:00 AM,RTD,6/20/2026 2:45:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:40:00 AM,RTD,6/20/2026 2:45:00 AM,VISLUZ1,N,4.03,-4.03,,
6/20/2026 2:45:00 AM,RTD,6/20/2026 2:50:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:45:00 AM,RTD,6/20/2026 2:50:00 AM,VISLUZ1,N,5.14,-5.14,,
6/20/2026 2:50:00 AM,RTD,6/20/2026 2:55:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 2:50:00 AM,RTD,6/20/2026 2:55:00 AM,VISLUZ1,N,4.84,-4.84,,
6/20/2026 2:55:00 AM,RTD,6/20/2026 3:00:00 AM,MINVIS1,N,442.05,-442.05,,
6/20/2026 2:55:00 AM,RTD,6/20/2026 3:00:00 AM,VISLUZ1,N,-13.83,13.83,,
6/20/2026 3:00:00 AM,RTD,6/20/2026 3:05:00 AM,MINVIS1,N,424.55,-424.55,,
6/20/2026 3:00:00 AM,RTD,6/20/2026 3:05:00 AM,VISLUZ1,N,-46.66,46.66,,
6/20/2026 3:05:00 AM,RTD,6/20/2026 3:10:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:05:00 AM,RTD,6/20/2026 3:10:00 AM,VISLUZ1,N,0.02,-0.02,,
6/20/2026 3:10:00 AM,RTD,6/20/2026 3:15:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:10:00 AM,RTD,6/20/2026 3:15:00 AM,VISLUZ1,N,13.22,-13.22,,
6/20/2026 3:15:00 AM,RTD,6/20/2026 3:20:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:15:00 AM,RTD,6/20/2026 3:20:00 AM,VISLUZ1,N,10.30,-10.30,,
6/20/2026 3:20:00 AM,RTD,6/20/2026 3:25:00 AM,MINVIS1,N,444.90,-444.90,,
6/20/2026 3:20:00 AM,RTD,6/20/2026 3:25:00 AM,VISLUZ1,N,-21.47,21.47,,
6/20/2026 3:25:00 AM,RTD,6/20/2026 3:30:00 AM,MINVIS1,N,438.13,-438.13,,
6/20/2026 3:25:00 AM,RTD,6/20/2026 3:30:00 AM,VISLUZ1,N,-37.44,37.44,,
6/20/2026 3:30:00 AM,RTD,6/20/2026 3:35:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:30:00 AM,RTD,6/20/2026 3:35:00 AM,VISLUZ1,N,-37.93,37.93,,
6/20/2026 3:35:00 AM,RTD,6/20/2026 3:40:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:35:00 AM,RTD,6/20/2026 3:40:00 AM,VISLUZ1,N,-52.18,52.18,,
6/20/2026 3:40:00 AM,RTD,6/20/2026 3:45:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:40:00 AM,RTD,6/20/2026 3:45:00 AM,VISLUZ1,N,-41.25,41.25,,
6/20/2026 3:45:00 AM,RTD,6/20/2026 3:50:00 AM,MINVIS1,Y,450,-450,,
6/20/2026 3:45:00 AM,RTD,6/20/2026 3:50:00 AM,VISLUZ1,N,-55.90,55.90,,
6/20/2026 3:50:00 AM,RTD,6/20/2026 3:55:00 AM,MINVIS1,N,444.63,-444.63,,
6/20/2026 3:50:00 AM,RTD,6/20/2026 3:55:00 AM,VISLUZ1,N,-78.02,78.02,,
6/20/2026 3:55:00 AM,RTD,6/20/2026 4:00:00 AM,MINVIS1,N,439.40,-439.40,,
6/20/2026 3:55:00 AM,RTD,6/20/2026 4:00:00 AM,VISLUZ1,N,-92.87,92.87,,
