TIME_INTERVAL,REGION,RESOURCE_NAME,SO_MW_INSTRUCTION,CATEGORY,MO_REMARKS
06/11/2026 9:00,CVIS,05CPPC_U04,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:05,CVIS,05CPPC_U04,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:10,CVIS,05CPPC_U04,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:15,CVIS,05CPPC_U04,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:20,CVIS,05CPPC_U04,0,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:00,CVIS,05CPPC_U05,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:05,CVIS,05CPPC_U05,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:10,CVIS,05CPPC_U05,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:15,CVIS,05CPPC_U05,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:20,CVIS,05CPPC_U05,0,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:00,CVIS,05CPPC_U06,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:05,CVIS,05CPPC_U06,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:10,CVIS,05CPPC_U06,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:15,CVIS,05CPPC_U06,6.2,THERMAL LIMITS,SO INSTRUCTION
06/11/2026 9:20,CVIS,05CPPC_U06,0,THERMAL LIMITS,SO INSTRUCTION
EOF,,,,,
