RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CMIN,Dr,110,0,,0,110,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CVIS,Dr,123,0,,0,123,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CLUZ,En,10670.97,0,0,220.73,10764.22,127.40,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CVIS,En,1954.41,0,0,14.51,1647.70,448.62,127.40,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CMIN,En,1909.45,0,0,46.49,2404.56,0,448.62,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CMIN,Fr,110,0,,0,110,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CVIS,Fr,134,0,,0,134,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CLUZ,Rd,203,0,,0,203,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CVIS,Rd,44.65,0,,0,44.65,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CMIN,Rd,36.84,0,,0,36.84,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CMIN,Ru,36.84,0,,0,36.84,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CLUZ,Ru,203,0,,0,203,0,0,
7/17/2026,RTD,7/17/2026 12:05:00 AM,CVIS,Ru,44.65,0,,0,44.65,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CVIS,Dr,123,0,,0,123,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CMIN,Dr,110,0,,0,110,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CMIN,En,1906.66,0,0,46.38,2403.05,0,450,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CLUZ,En,10635.45,0,0,220.28,10738.09,117.59,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CVIS,En,1955.77,0,0,14.71,1638.10,450,117.59,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CMIN,Fr,110,0,,0,110,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CVIS,Fr,134,0,,0,134,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CMIN,Rd,36.84,0,,0,36.84,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CLUZ,Rd,203,0,,0,203,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CVIS,Rd,44.65,0,,0,44.65,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CVIS,Ru,44.65,0,,0,44.65,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CMIN,Ru,36.84,0,,0,36.84,0,0,
7/17/2026 12:05:00 AM,RTD,7/17/2026 12:10:00 AM,CLUZ,Ru,203,0,,0,203,0,0,
7/17/2026 12:10:00 AM,RTD,7/17/2026 12:15:00 AM,CVIS,Dr,123,0,,0,123,0,0,
7/17/2026 12:10:00 AM,RTD,7/17/2026 12:15:00 AM,CMIN,Dr,110,0,,0,110,0,0,
7/17/2026 12:10:00 AM,RTD,7/17/2026 12:15:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
7/17/2026 12:10:00 AM,RTD,7/17/2026 12:15:00 AM,CMIN,En,1903.34,0,0,46.37,2399.72,0,450,
