RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,GWAP,
5/14/2026 2:30:00 PM,DIPC,5/14/2026 2:35:00 PM,CMIN,7423,
5/14/2026 2:30:00 PM,DIPC,5/14/2026 2:35:00 PM,CVIS,7423,
5/14/2026 2:30:00 PM,DIPC,5/14/2026 2:35:00 PM,CLUZ,7423,
5/14/2026 2:30:00 PM,DIPC,5/14/2026 2:35:00 PM,System,7423,
5/14/2026 2:30:00 PM,DIPC,5/14/2026 2:35:00 PM,CLUZ_CVIS,7423,
5/14/2026 7:30:00 PM,DIPC,5/14/2026 7:35:00 PM,CMIN,27413.2503,
5/14/2026 7:30:00 PM,DIPC,5/14/2026 7:35:00 PM,CVIS,11710.2188,
5/14/2026 7:30:00 PM,DIPC,5/14/2026 7:35:00 PM,CLUZ,7385.8680,
5/14/2026 7:30:00 PM,DIPC,5/14/2026 7:35:00 PM,System,11295.2992,
5/14/2026 7:30:00 PM,DIPC,5/14/2026 7:35:00 PM,CLUZ_CVIS,7964.3084,
5/14/2026 7:55:00 PM,DIPC,5/14/2026 8:00:00 PM,CMIN,27519.1008,
5/14/2026 7:55:00 PM,DIPC,5/14/2026 8:00:00 PM,CVIS,9805.0874,
5/14/2026 7:55:00 PM,DIPC,5/14/2026 8:00:00 PM,CLUZ,6599.6230,
5/14/2026 7:55:00 PM,DIPC,5/14/2026 8:00:00 PM,System,10545.4964,
5/14/2026 7:55:00 PM,DIPC,5/14/2026 8:00:00 PM,CLUZ_CVIS,7032.3544,
5/14/2026 9:45:00 PM,DIPC,5/14/2026 9:50:00 PM,CMIN,20147.3295,
5/14/2026 9:45:00 PM,DIPC,5/14/2026 9:50:00 PM,CVIS,4712.7133,
5/14/2026 9:45:00 PM,DIPC,5/14/2026 9:50:00 PM,CLUZ,4595.4817,
5/14/2026 9:45:00 PM,DIPC,5/14/2026 9:50:00 PM,System,7227.3496,
5/14/2026 9:45:00 PM,DIPC,5/14/2026 9:50:00 PM,CLUZ_CVIS,4611.3713,
5/14/2026 3:10:00 AM,DIPC,5/14/2026 3:15:00 AM,CLUZ_CVIS,7423,
5/14/2026 3:05:00 AM,DIPC,5/14/2026 3:10:00 AM,CMIN,3913.7046,
5/14/2026 3:05:00 AM,DIPC,5/14/2026 3:10:00 AM,CVIS,7423,
5/14/2026 3:05:00 AM,DIPC,5/14/2026 3:10:00 AM,CLUZ,7423,
5/14/2026 3:05:00 AM,DIPC,5/14/2026 3:10:00 AM,System,6854.4389,
5/14/2026 3:05:00 AM,DIPC,5/14/2026 3:10:00 AM,CLUZ_CVIS,7423,
5/14/2026 10:40:00 PM,DIPC,5/14/2026 10:45:00 PM,CMIN,57000,
5/14/2026 10:40:00 PM,DIPC,5/14/2026 10:45:00 PM,CVIS,57000,
5/14/2026 10:40:00 PM,DIPC,5/14/2026 10:45:00 PM,CLUZ,4270.7451,
5/14/2026 10:40:00 PM,DIPC,5/14/2026 10:45:00 PM,System,18899.1302,
5/14/2026 10:40:00 PM,DIPC,5/14/2026 10:45:00 PM,CLUZ_CVIS,11425.0411,
5/14/2026 10:50:00 PM,DIPC,5/14/2026 10:55:00 PM,CMIN,57000,
5/14/2026 10:50:00 PM,DIPC,5/14/2026 10:55:00 PM,CVIS,57000,
5/14/2026 10:50:00 PM,DIPC,5/14/2026 10:55:00 PM,CLUZ,3595.4998,
5/14/2026 10:50:00 PM,DIPC,5/14/2026 10:55:00 PM,System,18364.9750,
5/14/2026 10:50:00 PM,DIPC,5/14/2026 10:55:00 PM,CLUZ_CVIS,10773.7479,
5/14/2026 10:45:00 PM,DIPC,5/14/2026 10:50:00 PM,CMIN,57000,
5/14/2026 10:45:00 PM,DIPC,5/14/2026 10:50:00 PM,CVIS,57000,
5/14/2026 10:45:00 PM,DIPC,5/14/2026 10:50:00 PM,CLUZ,3811.3078,
5/14/2026 10:45:00 PM,DIPC,5/14/2026 10:50:00 PM,System,18497.3619,
5/14/2026 10:45:00 PM,DIPC,5/14/2026 10:50:00 PM,CLUZ_CVIS,10966.3247,
5/14/2026 12:20:00 AM,DIPC,5/14/2026 12:25:00 AM,CMIN,16734.4699,
5/14/2026 12:20:00 AM,DIPC,5/14/2026 12:25:00 AM,CVIS,32390.3675,
5/14/2026 12:20:00 AM,DIPC,5/14/2026 12:25:00 AM,CLUZ,3212.6126,
5/14/2026 12:20:00 AM,DIPC,5/14/2026 12:25:00 AM,System,8848.0739,
5/14/2026 12:20:00 AM,DIPC,5/14/2026 12:25:00 AM,CLUZ_CVIS,7296.1437,
