TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,MAXIMUM_CAPACITY,
20260420,RC,01RASLAG_G03,13.4,
20260420,RC,01RASLAG_G04,26.4,
20260420,HSABI,01SABANG_G01,14.2,
20260420,SAMALSOLR,01SAMLSOL_G01,35.8,
20260420,PFBSI,01SANMIGSOL_G01,55,
20260420,SHIZEN,01SHIZEN_G01,49.5,
20260420,SJGEC,01SJSOL_G01,15.3,
20260420,HEDCOR,01SLANGN_G01,2.4,
20260420,SMITHBELL,01SMBELL_G01,1.8,
20260420,SMCCPC,01SMC_G01,134,
20260420,SMCCPC,01SMC_G02,134,
20260420,SMCCPC,01SMC_G03,134,
20260420,SMCCPC,01SMC_G04,134,
20260420,RERI,01SNMANSOL_G01,69.9,
20260420,UPSI,01SNMAN_BAT,50,
20260420,SCSEI,01SNMARSOL_G01,308.3,
20260420,SPARC3,01SPABUL_G01,3.7,
20260420,SPDC,01SROQUE_U01,145,
20260420,SPDC,01SROQUE_U02,145,
20260420,SPDC,01SROQUE_U03,145,
20260420,SMEC,01SUAL_G01,600,
20260420,SMEC,01SUAL_G02,600,
20260420,JOBIN,01SUBSOL_G01,85.5,
20260420,JOBIN,01SUPSOL_G01,61.6,
20260420,OSPGC,01S_ENRO_G01,110,
20260420,TERASU,01TERASU_G01,40.1,
20260420,TSPI,01TERRASOL_G01,250,
20260420,TAPOCOR,01TPCBUNK_G01,16.8,
20260420,TRUSTSOLR,01TRUSTBIO_G01,1.7,
20260420,TRUSTSOLR,01TRUSTSOL_G01,15.4,
20260420,TAPGC,01T_ASIA_G01,48,
20260420,UPPCGEN,01UPPC_G01,5,
20260420,VSGPC,01VSGRIP_G01,5.4,
20260420,YHGEI,01YHGRN_G01,13.4,
20260420,SPARC,01ZAMSOL_G01,4.8,
20260420,ECOPARK,02ECOPRK_G01,4,
20260420,ECOPARK2,02ECOTAGA_G01,14.7,
20260420,MMPC,02MMPP_G01,5.1,
20260420,PGEP,02PNGEA_G01,.6,
20260420,PHRI,02PNGYSOL_G01,80.1,
20260420,SPSMNORTH,02SMNRTH_G01,1.2,
20260420,TMOBIL,02TMOBIL_G01,56.9,
20260420,TMOBIL,02TMOBIL_G03,50.1,
20260420,VSEI,02VALSOL_G01,7.4,
20260420,ABSOLUTDI,03ADISOL_G01,1.6,
20260420,GIGAACE4,03ALMNOS_BAT1,20,
20260420,GIGAACE4,03ALMNOS_BAT2,20,
20260420,PMPC,03AVION_U01,47.2,
20260420,PMPC,03AVION_U02,45.8,
20260420,AWOC,03AWOC_G01,53.6,
20260420,EDC,03BACMAN_BAT,20,
20260420,BGI,03BACMAN_U01,60,
20260420,BGI,03BACMAN_U02,60,
20260420,BGI,03BACMAN_U03,20,
20260420,PPDC2,03BALUG_G01,1.1,
20260420,PESI,03BART_G01,1.8,
20260420,BBEC,03BBEC_G01,5,
20260420,C9PI,03BOTOCA_G01,23,
20260420,SCPC,03CALACA_G01,239.9,
20260420,SCPC,03CALACA_G02,290,
20260420,C9PI,03CALIRY_G01,37,
20260420,SOLARPHIL,03CALSOL_G01,49.7,
20260420,CALABANGA,03CLABSOL_G01,50,
20260420,PPDC3,03CLBATO_G01,.3,
20260420,CMHEPPC,03COLASI_G01,4,
20260420,EERI,03EERI_G01,420.6,
20260420,EERI,03EERI_G02,421.9,
20260420,EERI,03EERI_G03,419.6,
20260420,SPPC,03ILIJAN_G01,600,
20260420,SPPC,03ILIJAN_G02,600,
20260420,BHC,03INARI_G01,1.6,
20260420,IPHI1,03INGRID_GS1,28,
20260420,IPHI1,03INGRID_GS2,22,
20260420,IPHI1,03INGRID_GS3,22,
20260420,IPHI1,03INGRID_GS4,28,
20260420,IPHI1,03INGRID_GS5,22,
20260420,IPHI1,03INGRID_GS6,28,
20260420,C9PI,03KAL_G01,181.1,
20260420,C9PI,03KAL_G02,181,
20260420,C9PI,03KAL_G03,181.4,
20260420,C9PI,03KAL_G04,185,
20260420,ESCI,03LMHP_G01,1,
20260420,UPSI,03LUMBAN_BAT,50,
20260420,CSBAT1,03LUMBSOL_G01,90,
20260420,CSBAT1,03LUNSOL_G01,50.1,
20260420,BEHMCLLHC,03LWERLAB_G01,1.4,
20260420,MHCI,03MAJAY_G01,2.2,
20260420,.WESM,03MALAYA_G01,300,
20260420,BPC,03MALAYA_G02,130,
20260420,STC,03MARAGSOL_G01,48.1,
20260420,MEC,03MEC_G01,32.9,
20260420,MGI,03MGI_G02,12,
20260420,MGI,03MGPP_G01,20,
20260420,APRI,03MKBN_A,114,
20260420,APRI,03MKBN_B,116,
20260420,APRI,03MKBN_D,40,
20260420,APRI,03MKBN_E,40,
20260420,JNSI,03NAICSOL_G01,5,
20260420,APRI,03ORMAT_G01,3,
20260420,TLI,03PAGBIL_G01,382,
20260420,TLI,03PAGBIL_G02,382,
20260420,PEC,03PAGBIL_G03,420,
20260420,PPDC,03PALAK_G01,1.5,
20260420,BGI,03PALAYAN_G01,24,
20260420,QPPL,03QPPL_G01,400,
20260420,RCBMI,03RCBMI_G01,5.5,
20260420,RCBMI,03RCBMI_G02,5.5,
20260420,SBPLC,03SBPL_G01,455,
20260420,SLPGC,03SLPGC_G01,150,
20260420,SLPGC,03SLPGC_G02,149.6,
20260420,SLTEC,03SLTEC_G01,122,
20260420,SLTEC,03SLTEC_G02,123,
20260420,FNPC,03SNGAB_G01,417.4,
20260420,SOLARACE1,03SOLACE_G01,89.4,
20260420,FGPCSTRA,03STA-RI_G01,263,
20260420,FGPCSTRA,03STA-RI_G02,263,
20260420,FGPCSTRA,03STA-RI_G03,263,
20260420,FGPCSTRA,03STA-RI_G04,263,
20260420,FGPSANLO,03STA-RI_G05,265,
20260420,FGPSANLO,03STA-RI_G06,265,
20260420,BGI,03TANAWON_G01,20.6,
20260420,STC,03TANSOL_G01,48.1,
20260420,APRI,03TGPP_G01,9.7,
20260420,THC,03TIBAG_G01,5.8,
20260420,APRI,03TIWI_A,120,
20260420,APRI,03TIWI_C,106.9,
20260420,UPLAB1,03UPLAB_G01,3.5,
20260420,BLIRANGEO,04BILGPP_G01,1,
20260420,GTEC,04CLBYBNK_G01,10.9,
20260420,IASCO,04IASMOD_G01,10,
20260420,IASCO,04IASMOD_G02,10,
20260420,IASCO,04IASMOD_G03,15,
20260420,IASCO,04IASMOD_G04,10,
20260420,IASCO,04IASMOD_G05,15,
20260420,IASCO,04IASMOD_G06,10,
20260420,SISPC,04ISIDROSOL_G01,100.5,
20260420,EDC,04LEYTE_A,474.6,
20260420,GCGI,04LGPP_G01,120.5,
20260420,UPSI,04ORMOC_BAT,40,
20260420,PSFLI,04PHSOL_G01,24.4,
20260420,SEPALCO,04SEPSOL_G01,40.5,
20260420,UPSI,04TABAN_BAT,20,
20260420,TAFTSOL,04TAFTSOL_G01,17.5,
20260420,TAFTHEC,04TAFT_G01,15,
20260420,EDC,04TONGO_BAT,10,
20260420,IVIUPPER,04UTH_G01,13.8,
20260420,TPC,05CARMENDPP_U01,10,
20260420,TPC,05CARMENDPP_U02,10,
20260420,TPC,05CARMENDPP_U03,10,
20260420,TPC,05CARMENDPP_U04,10,
20260420,TEDC,05CARMEN_BAT,24.5,
20260420,CEBUEDC,05CEDC_U01,83.2,
20260420,CEBUEDC,05CEDC_U02,83.4,
20260420,CEBUEDC,05CEDC_U03,83.1,
20260420,CPPC,05CPPC_U01,6.5,
20260420,CPPC,05CPPC_U02,6.5,
20260420,CPPC,05CPPC_U03,6.5,
20260420,CPPC,05CPPC_U04,6.5,
20260420,CPPC,05CPPC_U05,6.5,
20260420,CPPC,05CPPC_U06,6.5,
20260420,CPPC,05CPPC_U07,6.5,
20260420,CPPC,05CPPC_U08,6.3,
20260420,CPPC,05CPPC_U09,6.3,
20260420,CPPC,05CPPC_U10,6.3,
20260420,EAUC,05EAUC_U02,11,
20260420,EAUC,05EAUC_U03,11.5,
20260420,EAUC,05EAUC_U04,11.5,
20260420,KSPC,05KSPC_G01,103,
20260420,KSPC,05KSPC_G02,103,
20260420,TVI,05THVI_U01,169,
20260420,TVI,05THVI_U02,169,
20260420,UPSI,05TOLEDO_BAT,20,
20260420,FTOLEDO,05TOLSOL_G01,48,
20260420,TPC,05TPC_G02,83.6,
20260420,ICS,06AMLA_G01,.9,
20260420,EDC,06BBGPP_G01,4.7,
20260420,BISCOM,06BISCOM_G01,12.7,
20260420,CAB,06CABI_G01,12,
20260420,ASPI,06CALASOL_G01,137.4,
20260420,NISPI,06CARSOL_G01,27.1,
20260420,CENPRI,06CENPRI_U01,4.4,
20260420,CENPRI,06CENPRI_U02,4.4,
20260420,CENPRI,06CENPRI_U03,4.4,
20260420,CENPRI,06CENPRI_U04,6.5,
20260420,CENPRI,06CENPRI_U05,6.5,
20260420,FFHC,06FFHC_G01,9,
20260420,HELIOS,06HELIOS_G01,105,
20260420,HPCO,06HPCO_G01,2,
20260420,HPCO2,06HPCO_G02,9.5,
20260420,SPESCL,06KABAN_BAT,30,
20260420,NISPI2,06MANSOL_G01,40.5,
20260420,MONTESOL,06MNTSOL_G01,14.5,
20260420,EDC,06NASULO_G01,48.3,
20260420,NNBP,06NTNEGB_G01,25,
20260420,GCGI,06PAL1A_U01,35.2,
20260420,GCGI,06PAL1A_U02,34.8,
20260420,GCGI,06PAL1A_U03,35.3,
20260420,GCGI,06PAL2A_U01,18.8,
20260420,GCGI,06PAL2A_U02,18.9,
20260420,GCGI,06PAL2A_U03,18.9,
20260420,GCGI,06PAL2A_U04,20,
20260420,SACASOL,06SACASL_G01,19.5,
20260420,SACASOLCD,06SACASL_G02,19.8,
20260420,SACASUN,06SACSUN_G01,46.8,
20260420,SCBI,06SCBE_G01,7.4,
20260420,SCBIOPOWR,06SCBIOP_G01,19.5,
20260420,SILAYSPI,06SLYSOL_G01,20,
20260420,CSNO2I,06SLYSOL_G02,30,
20260420,CSNO2I,06SLYSOL_G03,20.1,
20260420,EDC,06SONEG_BAT,10,
20260420,SNBP,06STNEGB_G01,21.9,
20260420,URC,06URC_G01,19.7,
20260420,ARECO,06VISTASOL_G01,50.1,
20260420,VMC,06VMC_G01,2.5,
20260420,VMC,06VMC_G02,35,
20260420,SIPC,07BDPP_U01,4,
20260420,SIPC,07BDPP_U02,4,
20260420,SIPC,07BDPP_U03,4.2,
20260420,SIPC,07BDPP_U04,4,
20260420,MPC,07BIDPP_G01,54,
20260420,DGEC,07DAGSOL_G01,20.2,
20260420,JANOPOL,07JANOPO_G01,5,
20260420,STCLARA,07LOBOC_G01,1.2,
20260420,STCLARA2,07LOBOC_G02,1.2,
20260420,BSMHC,07SEVILL_G01,2.5,
20260420,SPCPOWER,07TPLPB4_U01,7,
20260420,SPCPOWER,07TPLPB4_U02,7,
20260420,SPCPOWER,07TPLPB4_U03,7,
20260420,SPCPOWER,07TPLPB4_U04,8,
20260420,UPSI,07UBAY_BAT,20,
20260420,CASA,08CASA_G01,8,
20260420,CASA,08CASA_G02,7,
20260420,PPC,08NABASDPP_U01,3,
20260420,PPC,08NABASDPP_U02,3.4,
20260420,PCPC,08PALM_G01,135,
20260420,SIPC,08PDPP1_U02,5,
20260420,SIPC,08PDPP1_U03,5,
20260420,SIPC,08PDPP1_U05,5,
20260420,SIPC,08PDPP3_C,12,
20260420,SIPC,08PDPP3_E,12,
20260420,SIPC,08PDPP3_G,13,
20260420,SIPC,08PDPP3_H,13,
20260420,PEDC,08PEDC_U01,83.7,
20260420,PEDC,08PEDC_U02,83.7,
20260420,PEDC,08PEDC_U03,150,
20260420,PWEI,08PWIND_G01,36.7,
20260420,PWEI,08PWIND_G02,13.2,
20260420,TAREC,08SLWIND_G01,52.9,
20260420,MPBI,08STBPB1_U01,6,
20260420,MPBI,08STBPB1_U02,6,
20260420,MPBI,08STBPB1_U03,6,
20260420,MPBI,08STBPB1_U04,6,
20260420,SUWECO2,08SUWECO_G01,8.1,
20260420,OEPGC,08TIMBA_G01,18,
20260420,KINGENE,09JIMDSL_U01,7.6,
