RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
4/15/2026,01CASECN_U01,4/2/2026 8:00:00 AM,4/17/2026 5:00:00 PM,STATUS,OUT,
4/15/2026,01CASECN_U02,4/12/2026 5:01:00 PM,4/17/2026 5:00:00 PM,STATUS,OUT,
4/15/2026,01MSINLO_G02,3/26/2026 12:01:00 AM,4/24/2026 11:59:00 PM,STATUS,OUT,
4/15/2026,08TIMBA_G01,4/15/2026 9:01:00 AM,4/15/2026 4:00:00 PM,STATUS,OUT,
4/15/2026,10AGUS6_U01,4/10/2026 9:01:00 AM,5/20/2026 11:59:00 PM,STATUS,OUT,
4/15/2026,10AGUS6_U02,4/15/2026 1:00:00 AM,4/15/2026 11:59:00 PM,STATUS,OUT,
4/15/2026,11MINBU_G01,4/7/2026 7:00:00 AM,4/28/2026 11:59:00 PM,STATUS,OUT,
4/15/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
4/15/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
EOF
