RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
5/2/2026,03SNGAB_G01,5/4/2026 1:30:00 AM,5/4/2026 6:00:00 AM,STATUS,OUT,
5/2/2026,05TPC_G02,4/28/2026 8:46:00 PM,5/3/2026,STATUS,OUT,
5/2/2026,10AGUS1_U01,5/1/2026 8:00:00 AM,5/20/2026 11:59:00 PM,STATUS,OUT,
5/2/2026,10AGUS6_U01,4/10/2026 9:01:00 AM,5/20/2026 11:59:00 PM,STATUS,OUT,
5/2/2026,11MANFOR_G01,4/27/2026 12:01:00 AM,5/4/2026 11:59:00 PM,STATUS,OUT,
5/2/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
5/2/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
EOF
