RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
9/6/2026,01MARVEL_G01,7/16/2026,9/18/2026,STATUS,OUT,
9/6/2026,03SLTEC_G01,8/1/2026,9/30/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,05EAUC_U02,9/7/2026 8:01:00 AM,9/27/2026 8:00:00 AM,STATUS,OUT,
9/6/2026,07BDPP_U01,9/1/2026 8:01:00 AM,9/10/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,07BDPP_U01,9/11/2026,9/20/2026 4:02:00 PM,STATUS,OUT,
9/6/2026,07BDPP_U02,9/1/2026 8:01:00 AM,9/10/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,07BDPP_U03,9/11/2026 9:01:00 AM,9/20/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,07BDPP_U04,9/11/2026 8:01:00 AM,9/20/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,10AGUS5_U02,9/1/2026 8:01:00 AM,10/3/2026 8:01:00 AM,STATUS,OUT,
9/6/2026,10AGUS6_U05,9/2/2026 9:01:00 AM,9/30/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,10AGUS7_U02,9/7/2026 9:01:00 AM,9/8/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,10GNPK_U02,7/28/2026 12:01:00 AM,9/20/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,11STEAG_U02,8/7/2026 12:01:00 AM,9/30/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,13DCPP_U01,8/26/2026 2:00:00 AM,9/19/2026 11:59:00 PM,STATUS,OUT,
9/6/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,6/30/2027 11:59:00 PM,STATUS,OUT,
EOF
