TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,CLEARED_PRICE,
5/15/2026 11:55:00 PM,LUZON,01CNCEP_BAT,G,32000,
5/15/2026 11:55:00 PM,LUZON,01GAMU_BAT,G,32000,
5/15/2026 11:55:00 PM,LUZON,01MAGAT_U04,G,31865,
5/15/2026 11:55:00 PM,VISAYAS,04IASMOD_G01,G,32000,
5/15/2026 11:55:00 PM,VISAYAS,04IASMOD_G02,G,32000,
5/15/2026 11:55:00 PM,VISAYAS,04IASMOD_G03,G,32000,
5/15/2026 11:55:00 PM,VISAYAS,05CARMENDPP_U01,G,21078.60,
5/15/2026 11:55:00 PM,VISAYAS,05CARMENDPP_U02,G,21078.60,
5/15/2026 11:55:00 PM,VISAYAS,05CARMENDPP_U03,G,21078.60,
5/15/2026 11:55:00 PM,VISAYAS,07BDPP_U03,G,23971.10,
5/15/2026 11:55:00 PM,VISAYAS,07TPLPB4_U01,G,22580.90,
5/15/2026 11:55:00 PM,VISAYAS,07TPLPB4_U02,G,22680.90,
5/15/2026 11:55:00 PM,VISAYAS,07TPLPB4_U04,G,22880.90,
5/16/2026,LUZON,01GAMU_BAT,G,32000,
5/16/2026,LUZON,01MAGAT_BAT,G,32000,
5/16/2026,LUZON,01MAGAT_U04,G,31865,
5/16/2026,VISAYAS,04IASMOD_G01,G,32000,
5/16/2026,VISAYAS,04IASMOD_G02,G,32000,
5/16/2026,VISAYAS,04IASMOD_G03,G,32000,
5/16/2026,VISAYAS,05CARMENDPP_U01,G,21078.60,
5/16/2026,VISAYAS,05CARMENDPP_U02,G,21078.60,
5/16/2026,VISAYAS,05CARMENDPP_U03,G,21078.60,
5/16/2026,VISAYAS,08STBPB1_U04,G,21917.20,
EOF
