TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,PRODUCT_TYPE,MAX_CAPACITY,
20260714,GIGAACE4,03ALMNOS_BAT1,RU,20,
20260714,GIGAACE4,03ALMNOS_BAT1,RD,20,
20260714,GIGAACE4,03ALMNOS_BAT1,FR,20,
20260714,GIGAACE4,03ALMNOS_BAT2,RD,20,
20260714,GIGAACE4,03ALMNOS_BAT2,RU,20,
20260714,GIGAACE4,03ALMNOS_BAT2,FR,20,
20260714,PMPC,03AVION_U01,RD,40,
20260714,PMPC,03AVION_U01,DR,45,
20260714,PMPC,03AVION_U01,FR,40,
20260714,PMPC,03AVION_U01,RU,40,
20260714,PMPC,03AVION_U02,DR,45,
20260714,PMPC,03AVION_U02,RU,40,
20260714,PMPC,03AVION_U02,FR,40,
20260714,PMPC,03AVION_U02,RD,40,
20260714,EDC,03BACMAN_BAT,RD,20,
20260714,EDC,03BACMAN_BAT,FR,20,
20260714,EDC,03BACMAN_BAT,RU,20,
20260714,EERI,03EERI_G02,RU,30,
20260714,EERI,03EERI_G02,RD,30,
20260714,EERI,03EERI_G03,RD,30,
20260714,EERI,03EERI_G03,RU,30,
20260714,IPHI1,03INGRID_GS1,RD,27,
20260714,IPHI1,03INGRID_GS1,RU,27,
20260714,IPHI1,03INGRID_GS1,FR,28,
20260714,IPHI1,03INGRID_GS1,DR,28,
20260714,IPHI1,03INGRID_GS2,RD,22,
20260714,IPHI1,03INGRID_GS2,RU,22,
20260714,IPHI1,03INGRID_GS2,FR,22,
20260714,IPHI1,03INGRID_GS2,DR,22,
20260714,IPHI1,03INGRID_GS3,FR,22,
20260714,IPHI1,03INGRID_GS3,RD,22,
20260714,IPHI1,03INGRID_GS3,DR,22,
20260714,IPHI1,03INGRID_GS3,RU,22,
20260714,IPHI1,03INGRID_GS4,RD,28,
20260714,IPHI1,03INGRID_GS4,RU,28,
20260714,IPHI1,03INGRID_GS4,DR,28,
20260714,IPHI1,03INGRID_GS4,FR,28,
20260714,IPHI1,03INGRID_GS5,FR,22,
20260714,IPHI1,03INGRID_GS5,RD,22,
20260714,IPHI1,03INGRID_GS5,RU,22,
20260714,IPHI1,03INGRID_GS5,DR,22,
20260714,IPHI1,03INGRID_GS6,RU,28,
20260714,IPHI1,03INGRID_GS6,DR,28,
20260714,IPHI1,03INGRID_GS6,FR,28,
20260714,IPHI1,03INGRID_GS6,RD,28,
20260714,C9PI,03KAL_G01,DR,181,
20260714,C9PI,03KAL_G01,RU,90,
20260714,C9PI,03KAL_G01,RD,90,
20260714,C9PI,03KAL_G01,FR,90,
20260714,C9PI,03KAL_G02,DR,181,
20260714,C9PI,03KAL_G02,RD,90,
20260714,C9PI,03KAL_G02,RU,90,
20260714,C9PI,03KAL_G02,FR,90,
20260714,C9PI,03KAL_G03,DR,181,
20260714,C9PI,03KAL_G03,FR,90,
20260714,C9PI,03KAL_G03,RD,90,
20260714,C9PI,03KAL_G03,RU,90,
20260714,C9PI,03KAL_G04,FR,90,
20260714,C9PI,03KAL_G04,RD,90,
20260714,C9PI,03KAL_G04,RU,90,
20260714,C9PI,03KAL_G04,DR,185,
20260714,UPSI,03LUMBAN_BAT,RU,45,
20260714,UPSI,03LUMBAN_BAT,FR,45,
20260714,UPSI,03LUMBAN_BAT,RD,45,
20260714,TLI,03PAGBIL_G01,FR,35,
20260714,TLI,03PAGBIL_G02,FR,36,
20260714,PEC,03PAGBIL_G03,FR,41,
20260714,FNPC,03SNGAB_G01,RD,150,
20260714,FNPC,03SNGAB_G01,FR,120,
20260714,FNPC,03SNGAB_G01,RU,150,
20260714,GTEC,04CLBYBNK_G01,DR,11,
20260714,IASCO,04IASMOD_G01,FR,10,
20260714,IASCO,04IASMOD_G01,RD,10,
20260714,IASCO,04IASMOD_G01,RU,10,
20260714,IASCO,04IASMOD_G01,DR,10,
20260714,IASCO,04IASMOD_G02,DR,10,
20260714,IASCO,04IASMOD_G02,RU,10,
20260714,IASCO,04IASMOD_G02,FR,10,
