RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,PRICE,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CLUZ,Fr,2450,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CVIS,Fr,17000,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CLUZ,Rd,22400,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CMIN,Rd,24999.85,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CVIS,Rd,19998,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CLUZ,Ru,22400,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CMIN,Ru,24999.85,
7/1/2026 1:10:00 AM,RTD,7/1/2026 1:15:00 AM,CVIS,Ru,19998,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CLUZ,Dr,2000.08,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CVIS,Dr,1930,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CMIN,Dr,0,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CVIS,Fr,17000,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CLUZ,Fr,2400,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CMIN,Fr,1999,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CLUZ,Rd,22400,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CVIS,Rd,19998,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CMIN,Rd,24999.85,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CLUZ,Ru,22400,
7/1/2026 1:15:00 AM,RTD,7/1/2026 1:20:00 AM,CMIN,Ru,24999.85,
