RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,PRICE,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CVIS,Dr,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CMIN,Dr,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CLUZ,Dr,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CVIS,Fr,13686.13,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CMIN,Fr,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CLUZ,Fr,23473.45,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CLUZ,Rd,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CVIS,Rd,0,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CMIN,Rd,0.01,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CLUZ,Ru,3443.05,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CMIN,Ru,0.01,
4/30/2026,RTD,4/30/2026 12:05:00 AM,CVIS,Ru,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CVIS,Dr,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CMIN,Dr,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CLUZ,Dr,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CVIS,Fr,13672.31,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CMIN,Fr,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CLUZ,Fr,20040.30,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CMIN,Rd,0.01,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CLUZ,Rd,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CVIS,Rd,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CMIN,Ru,0.01,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CLUZ,Ru,0,
4/30/2026 12:05:00 AM,RTD,4/30/2026 12:10:00 AM,CVIS,Ru,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CLUZ,Dr,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CMIN,Dr,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CVIS,Dr,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CLUZ,Fr,20018.78,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CVIS,Fr,13670.34,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CMIN,Fr,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CVIS,Rd,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CLUZ,Rd,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CMIN,Rd,0.01,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CLUZ,Ru,0,
4/30/2026 12:10:00 AM,RTD,4/30/2026 12:15:00 AM,CVIS,Ru,0.01,
