RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,PRICE,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CVIS,Dr,2000,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CMIN,Dr,0,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CLUZ,Dr,1500.08,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CMIN,Fr,89.89,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CVIS,Fr,4500,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CLUZ,Fr,1130,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CVIS,Rd,2001,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CMIN,Rd,24999.85,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CLUZ,Rd,1579.01,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CVIS,Ru,21310.73,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CLUZ,Ru,550,
5/17/2026,RTD,5/17/2026 12:05:00 AM,CMIN,Ru,24999.85,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CVIS,Dr,5100,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CMIN,Dr,0,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CLUZ,Dr,1500.08,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CMIN,Fr,89.89,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CVIS,Fr,4500,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CLUZ,Fr,1130,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CVIS,Rd,2001,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CMIN,Rd,24999.85,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CLUZ,Rd,1000,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CVIS,Ru,19999,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CLUZ,Ru,550,
5/17/2026 12:05:00 AM,RTD,5/17/2026 12:10:00 AM,CMIN,Ru,24999.85,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CVIS,Dr,5200,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CMIN,Dr,0,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CLUZ,Dr,1500.08,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CMIN,Fr,89.89,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CVIS,Fr,11500,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CLUZ,Fr,1130,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CVIS,Rd,2001,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CMIN,Rd,24999.85,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CLUZ,Rd,1000,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CVIS,Ru,19999,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CLUZ,Ru,550,
5/17/2026 12:10:00 AM,RTD,5/17/2026 12:15:00 AM,CMIN,Ru,24999.85,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CVIS,Dr,5000,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CMIN,Dr,0,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CLUZ,Dr,1500.08,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CMIN,Fr,89.89,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CVIS,Fr,14500,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CLUZ,Fr,1130,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CVIS,Rd,4610.43,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CMIN,Rd,24999.85,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CLUZ,Rd,1000,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CVIS,Ru,19999,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CLUZ,Ru,1000,
5/17/2026 12:15:00 AM,RTD,5/17/2026 12:20:00 AM,CMIN,Ru,24999.85,
