RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,COMMODITY_TYPE,MARGINAL_PRICE,
8/13/2026,RTD,8/13/2026 12:05:00 AM,CMIN,14SUPKOR_G01,G,En,32000,
8/13/2026 12:05:00 AM,RTD,8/13/2026 12:10:00 AM,CLUZ,03STA-RI_G02,G,En,6653.30,
8/13/2026 12:05:00 AM,RTD,8/13/2026 12:10:00 AM,CLUZ,03STA-RI_G03,G,En,6653.30,
8/13/2026 12:05:00 AM,RTD,8/13/2026 12:10:00 AM,CLUZ,03STA-RI_G04,G,En,6653.30,
8/13/2026 12:05:00 AM,RTD,8/13/2026 12:10:00 AM,CMIN,13MPCDIG_G01,G,En,32000,
8/13/2026 12:10:00 AM,RTD,8/13/2026 12:15:00 AM,CLUZ,03STA-RI_G05,G,En,6548.50,
8/13/2026 12:10:00 AM,RTD,8/13/2026 12:15:00 AM,CLUZ,03STA-RI_G06,G,En,6548.50,
8/13/2026 12:10:00 AM,RTD,8/13/2026 12:15:00 AM,CMIN,14PKPSOC_G01,G,En,32000,
8/13/2026 12:15:00 AM,RTD,8/13/2026 12:20:00 AM,CLUZ,03STA-RI_G05,G,En,6548.50,
8/13/2026 12:15:00 AM,RTD,8/13/2026 12:20:00 AM,CLUZ,03STA-RI_G06,G,En,6548.50,
8/13/2026 12:15:00 AM,RTD,8/13/2026 12:20:00 AM,CMIN,14PKPSOC_G01,G,En,32000,
8/13/2026 12:20:00 AM,RTD,8/13/2026 12:25:00 AM,CLUZ,03STA-RI_G05,G,En,6548.50,
8/13/2026 12:20:00 AM,RTD,8/13/2026 12:25:00 AM,CLUZ,03STA-RI_G06,G,En,6548.50,
8/13/2026 12:20:00 AM,RTD,8/13/2026 12:25:00 AM,CMIN,14PKPSOC_G01,G,En,32000,
8/13/2026 12:25:00 AM,RTD,8/13/2026 12:30:00 AM,CLUZ,03STA-RI_G05,G,En,6548.50,
8/13/2026 12:25:00 AM,RTD,8/13/2026 12:30:00 AM,CLUZ,03STA-RI_G06,G,En,6548.50,
8/13/2026 12:25:00 AM,RTD,8/13/2026 12:30:00 AM,CVIS,07TPLPB4_U04,G,En,30251.60,
8/13/2026 12:30:00 AM,RTD,8/13/2026 12:35:00 AM,CLUZ,03SBPL_G01,G,En,3149.60,
8/13/2026 12:30:00 AM,RTD,8/13/2026 12:35:00 AM,CMIN,11VILLA_BAT,G,En,32000,
8/13/2026 12:35:00 AM,RTD,8/13/2026 12:40:00 AM,CLUZ,01SUAL_G02,G,En,3400.08,
8/13/2026 12:35:00 AM,RTD,8/13/2026 12:40:00 AM,CMIN,11MNRGY_G01,G,En,32000.0008,
8/13/2026 12:35:00 AM,RTD,8/13/2026 12:40:00 AM,CMIN,11MNRGY_G02,G,En,32000.0008,
8/13/2026 12:40:00 AM,RTD,8/13/2026 12:45:00 AM,CLUZ,01SUAL_G02,G,En,3400.08,
8/13/2026 12:40:00 AM,RTD,8/13/2026 12:45:00 AM,CMIN,11PACERM_G01,G,En,32000,
8/13/2026 12:45:00 AM,RTD,8/13/2026 12:50:00 AM,CLUZ,01ANDA_G01,G,En,4908,
8/13/2026 12:45:00 AM,RTD,8/13/2026 12:50:00 AM,CVIS,05CPPC_U06,G,En,32000.0005,
8/13/2026 12:45:00 AM,RTD,8/13/2026 12:50:00 AM,CVIS,05CPPC_U07,G,En,32000.0005,
8/13/2026 12:45:00 AM,RTD,8/13/2026 12:50:00 AM,CVIS,05CPPC_U08,G,En,32000.0005,
8/13/2026 12:45:00 AM,RTD,8/13/2026 12:50:00 AM,CVIS,05CPPC_U10,G,En,32000.0005,
8/13/2026 12:50:00 AM,RTD,8/13/2026 12:55:00 AM,CLUZ,01SUAL_G02,G,En,3400.08,
8/13/2026 12:50:00 AM,RTD,8/13/2026 12:55:00 AM,CMIN,14PKPSOC_G01,G,En,32000,
8/13/2026 12:55:00 AM,RTD,8/13/2026 1:00:00 AM,CLUZ,01SUAL_G02,G,En,3400.08,
8/13/2026 12:55:00 AM,RTD,8/13/2026 1:00:00 AM,CMIN,09WMPC_U08,G,En,31800,
8/13/2026 1:00:00 AM,RTD,8/13/2026 1:05:00 AM,CLUZ,01SUAL_G01,G,En,3200.08,
8/13/2026 1:00:00 AM,RTD,8/13/2026 1:05:00 AM,CMIN,09SANGALI_BAT,G,En,32000.0006,
8/13/2026 1:05:00 AM,RTD,8/13/2026 1:10:00 AM,CLUZ,01MARVEL_G02,G,En,3366.40,
