RUN_TIME,ADV_ID,ADV_SDATE,ADV_TRAN_TYPE,ADV_TEXT_MESSAGE,
4/9/2026 9:45:27 PM,L214527,4/9/2026 9:45:33 PM,0,[NSO Update] Luzon Grid-04/09/2026 21:45: Ormoc-Naga 350kV HVDC (Visayas-Luzon) de-blocked at 2129H with power going to Luzon.  [WEBSMS],
4/9/2026 9:44:54 PM,V214454,4/9/2026 9:45:01 PM,0,[NSO Update] Visayas Grid-04/09/2026 21:46: Ormoc-Naga 350kV HVDC (Visayas-Luzon) de-blocked at 2129H with power going to Luzon.  [WEBSMS],
4/9/2026 9:28:42 PM,L212842,4/9/2026 9:28:48 PM,0,[NSO Update] Luzon Grid-04/09/2026 21:28: Ormoc-Naga 350kV HVDC (Visayas-Luzon) blocked at 2119H from reverse power direction.  [WEBSMS],
4/9/2026 9:28:33 PM,V212833,4/9/2026 9:28:40 PM,0,[NSO Update] Visayas Grid-04/09/2026 21:29: Ormoc-Naga 350kV HVDC (Visayas-Luzon) blocked at 2119H from reverse power direction.  [WEBSMS],
4/9/2026 8:58:11 PM,L205811,4/9/2026 8:58:18 PM,0,Luzon Grid-04/09/2026 20:58: San Lorenzo 50 online at 2054H but emergency shutdown again at 2056H. The said unit tripped at 1945H while conducting  conducting Liquid fuel commissioning (Unplanned Outage)  [WEBSMS],
4/9/2026 8:16:12 PM,M201612,4/9/2026 8:16:19 PM,0,Mindanao Grid-04/09/2026 20:16: Manolo-Manolo Fortich Hydro Plant 2 (MN2) 138kV L1 energized/restored at 2005H. (Planned Outage/GOMP). Note: Customers owned and maintained 138kV Line by HEDCOR.  [WEBSMS],
4/9/2026 7:57:23 PM,L195723,4/9/2026 7:57:30 PM,0,Luzon Grid-04/09/2026 19:57: San Juan SS 230kV Bus 1 restored at 1953H (Planned Outage)  [WEBSMS],
4/9/2026 7:41:12 PM,V194112,4/9/2026 7:41:18 PM,0,Visayas Grid-04/09/2026 19:42: PGPP1 U1 online 1937H (Unplanned Outage)  [WEBSMS],
4/9/2026 7:00:47 PM,L190047,4/9/2026 7:00:53 PM,0,[NSO Update] Luzon Grid-04/09/2026 19:00: Ormoc-Naga 350kV HVDC (Visayas-Luzon) de-blocked at 1732H with power going to Visayas.  [WEBSMS],
4/9/2026 6:57:47 PM,V185747,4/9/2026 6:57:54 PM,0,[NSO Update] Visayas Grid-04/09/2026 18:59: Ormoc-Naga 350kV HVDC (Visayas-Luzon) de-blocked at 1732H with power going to Visayas.  [WEBSMS],
4/9/2026 6:57:33 PM,L185733,4/9/2026 6:57:40 PM,0,[NSO Update] Luzon Grid-04/09/2026 18:57: Ormoc-Naga 350kV HVDC (Visayas-Luzon) blocked at 1722H from forward power direction.  [WEBSMS],
4/9/2026 6:54:39 PM,V185439,4/9/2026 6:54:45 PM,0,[NSO Update] Visayas Grid-04/09/2026 18:55: Ormoc-Naga 350kV HVDC (Visayas-Luzon) blocked at 1722H from forward power direction.  [WEBSMS],
4/9/2026 6:02:45 PM,M180245,4/9/2026 6:02:51 PM,0,[NSO Update] Mindanao Grid-04/09/2026 18:03: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3492MW, PK=2462MW, RR=74MW, NetOpMargin: EVE=955 Highest Unit O/L: TSI 1 @151.4MW Derated Plant: MA1 @48MW, MA2 @43MW, GNPK 2 @125MW [WEBSMS],
4/9/2026 6:00:58 PM,V180058,4/9/2026 6:01:05 PM,0,[NSO Update] Visayas Grid-04/09/2026 18:02: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=2655MW, PK=2296MW, RR=40MW, NetOpMargin: EVE=319 Highest Unit O/L: PEDC 3 @150MW Derated Plant: TGPP @79.5MW, LEYTE A @358MW [WEBSMS],
4/9/2026 6:00:53 PM,L180053,4/9/2026 6:00:59 PM,0,[NSO Update] Luzon Grid-04/09/2026 18:00: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=14730MW, PK=11426MW, RR=40MW, NetOpMargin: EVE=3264 Highest Unit O/L: GNPD 1&2 @668MW Derated Plant: MSLC3 @260MW, PBL3 @330MW, SCPC @120MW, SCPC 2 @120MW, SUAL 1 @270MW [WEBSMS],
4/9/2026 5:51:14 PM,M175114,4/9/2026 5:51:21 PM,0,Mindanao Grid-04/09/2026 17:51: Manolo-Manolo Fortich Hydro Plant 2 (MN2) 138kV L1 de-energized at 0818H. (Planned Outage/GOMP). Note: Customers owned and maintained 138kV Line by HEDCOR.  [WEBSMS],
4/9/2026 4:58:36 PM,M165836,4/9/2026 4:58:42 PM,0,Mindanao Grid-04/09/2026 16:58: Pulangi 4 HEPP Unit 1 online at 1653H from OMC Outage.  [WEBSMS],
