RUN_TIME,ADV_ID,ADV_SDATE,ADV_TRAN_TYPE,ADV_TEXT_MESSAGE,
6/1/2026 11:37:13 PM,L233713,6/1/2026 11:36:44 PM,0,Luzon Grid-06/01/2026 23:37: San Gabriel shutdown at 2335H. (Reserve Shutdown)  [WEBSMS],
6/1/2026 11:08:38 PM,L230838,6/1/2026 11:08:09 PM,0,Luzon Grid-06/01/2026 23:08: Ilijan GT 1-2 online at 2249H. (Unplanned Outage)  [WEBSMS],
6/1/2026 11:06:22 PM,M230622,6/1/2026 11:05:54 PM,0,Mindanao Grid-06/01/2026 23:06: Baloi - Agus 6 69kV Tie Line energized/restored at 2305H. (Planned Outage)  [WEBSMS],
6/1/2026 10:45:28 PM,V224528,6/1/2026 10:44:59 PM,0,[NSO Advisory] Visayas Grid-06/01/2026 22:46: The Visayas Grid Yellow Alert Notice issued today has been lifted effective 2245H.  [WEBSMS],
6/1/2026 9:32:13 PM,M213213,6/1/2026 9:31:45 PM,0,Mindanao Grid-06/01/2026 21:32: Zamboanga-WMPC 138kV Line 1 and L2 energized at 2125H. (Unplanned Outage)  [WEBSMS],
6/1/2026 9:15:34 PM,M211534,6/1/2026 9:15:06 PM,0,Mindanao Grid-06/01/2026 21:15: Zamboanga-WMPC 138kV Line 1 and L2 tripped at 2059H. (Unplanned Outage)  [WEBSMS],
6/1/2026 8:02:48 PM,V200248,6/1/2026 8:02:19 PM,0,[NSO Advisory] Visayas Grid-06/01/2026 20:03: The SO-Initiated Market Intervention issued today, 01-June-2026 for the Visayas grid has been lifted at 1958H. Market operations resumed starting interval 2005H.  [WEBSMS],
6/1/2026 7:59:28 PM,V195928,6/1/2026 7:58:59 PM,0,Visayas Grid-06/01/2026 20:00: Visayas grid MLD restored with last feeder in at 1958H  [WEBSMS],
6/1/2026 7:52:08 PM,V195208,6/1/2026 7:51:39 PM,0,Visayas Grid-06/01/2026 19:53: Cebu Sub-grid MLD restored with last feeder in at 1949H  [WEBSMS],
6/1/2026 7:34:28 PM,M193428,6/1/2026 7:33:59 PM,0,Mindanao Grid-06/01/2026 19:34: WMPC Unit 1,6,8 & 10 declared available at 1920H from OMC outage. (Unplanned Outage)  [WEBSMS],
6/1/2026 7:32:37 PM,M193237,6/1/2026 7:32:09 PM,0,Mindanao Grid-06/01/2026 19:32: WMPC Unit 8 declared unavailable at 1728H. (Unplanned Outage)  [WEBSMS],
6/1/2026 7:31:07 PM,L193107,6/1/2026 7:30:39 PM,0,Luzon Grid-06/01/2026 19:31: Laoag - Balaoi Wind Farm 115kV restored at 1929H. (Planned Outage)  [WEBSMS],
6/1/2026 6:59:25 PM,V185925,6/1/2026 6:58:57 PM,0,Visayas Grid-06/01/2026 19:00: Carcon-Sangi 34.5kV Line 3 restored at 1858H (Unplanned Outage)  [WEBSMS],
6/1/2026 6:43:42 PM,V184342,6/1/2026 6:43:13 PM,0,Visayas Grid-06/01/2026 18:44: CPPC Units 6, 7, 8, 9, and 10 declared available, first unit online at 1820H (Unplanned Outage)  [WEBSMS],
6/1/2026 6:33:45 PM,M183345,6/1/2026 6:33:17 PM,0,Mindanao Grid-06/01/2026 18:33: Zamboanga-WMPC 138kV Line 1 energized at 1830H. (Unplanned Outage)  [WEBSMS],
6/1/2026 6:33:44 PM,V183344,6/1/2026 6:33:16 PM,0,[NSO Advisory] Visayas Grid-06/01/2026 18:34: SO-initiated Market Intervention is issued today, 01-June-2026, for Visayas Grid starting interval 1830H due to MLD implementation caused by limited generation in the Cebu-Negros-Panay sub-grids  [WEBSMS],
